Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present,Web Description,Hacking/IT Incident,Other,Unauthorized Access/Disclosure,Theft,Improper Disposal,Loss,Unknown,Name of Covered Entity clean,Year,Month,Day,quarter,dayofweek,is_weekend,weekofyear,Desktop Computer,Electronic Medical Record,Email,Laptop,Network Server,Other Portable Electronic Device,Paper/Films,Yes,No
Spectrum Health System,MI,Healthcare Provider,902.0,2017-08-03,Theft,Other Portable Electronic Device,No,"On June 22, 2017, a digital camera with stored photographs of patients’ chart labels and photographs of patients’ skin conditions was stolen out of a physician’s vehicle which was parked outside the physician’s home.  The stolen camera contained protected health information (PHI) created between February 15, 2017, and June 21, 2017, including 902 individuals’ demographic and clinical information.  The physician reported the theft to law enforcement.  The covered entity (CE) provided breach notification to HHS, affected individuals, and the media, posted substitute notice on its website, and established a call center to answer patients’ questions and public inquiries.  Following the breach, the CE updated its policies and procedures for safeguarding PHI on mobile devices, requiring employees to install encryption software on all CE-approved cell phones and mobile devices and banning the removal of cameras and camera memory cards from the CE’s premises.  The CE also trained workforce members on securely capturing and storing electronic PHI on mobile devices.  In October 2018, the CE began a comprehensive enterprise wide risk analysis that continued into 2019.  OCR obtained documented assurances that the CE implemented the corrective actions listed above.",0.0,1,0.0,1.0,0.0,0.0,0.0,Spectrum Health System,2017.0,8.0,3.0,3.0,3.0,0,31.0,0,0,0,0,0,1,0,0,1
Braun Dermatology & Skin Cancer Center,DC,Healthcare Provider,1200.0,2017-07-28,Unauthorized Access/Disclosure,Email,No,"The covered entity (CE) sent an email to patients that failed to conceal the email addresses of the other recipients.  The breach included the protected health information (PHI) of 1,200 individuals, specifically email addresses.  Following the breach, the CE's Privacy Officer worked with its Information Technology (IT) Department to attempt to recall the message. The CE performed a breach risk assessment and determined there was a low risk of compromise to patients’ PHI. The CE implemented a new policy and procedure whereby it eliminated mass emails and will send individual emails through a secure patient reminder system. OCR obtained assurances that the CE implemented the corrective actions noted.",0.0,0,1.0,0.0,0.0,0.0,0.0,Braun Dermatology  Skin Cancer Center,2017.0,7.0,28.0,3.0,4.0,0,30.0,0,0,1,0,0,0,0,0,1
Northwest Behavioral Healthcare Services,OR,Healthcare Provider,500.0,2017-07-27,Unauthorized Access/Disclosure,Email,No,"National Behavioral Healthcare Services, the covered entity (CE), reported that one of its workforce members  inadvertently emailed a spreadsheet containing protected health information (PHI) to one patient’s parent.  The breach (which was initially reported as affecting more than 500) affected 498 individuals (patients and their guardians) and included names, birthdates, contact information, insurance company identification, and other identifying information.  The CE provided breach notification to HHS and affected individuals.  Following the breach, the CE conducted an investigation, counseled and retrained its workforce members and implemented safeguards, including placing additional restrictions on the use and disclosure of PHI.   As a result of OCR’s investigation, the CE reviewed  its policies and procedures, and revised its policies for using and safeguarding spreadsheet information.  As of November 2017 the CE ceased doing business.",0.0,0,1.0,0.0,0.0,0.0,0.0,Northwest Behavioral Healthcare Services,2017.0,7.0,27.0,3.0,3.0,0,30.0,0,0,1,0,0,0,0,0,1
"BlueCross BlueShield of TN, Inc.",TN,Health Plan,2117.0,2017-07-21,Unauthorized Access/Disclosure,Paper/Films,No,"The covered entity (CE) discovered on July 5, 2017, that it mailed a monthly  report to employer health plan administrators that erroneously included the protected health information (PHI) of members enrolled in another group due to a software discrepancy.  The mailings included demographic and health insurance information, affecting approximately 2,117 individuals.  In response to the breach, the CE updated and tested all of its systems and manually reviewed every report prior to mailing until transitioning to an electronic-based reporting system in November 2017.  The CE provided breach notification to HHS, affected individuals, and the media.  The CE sent information to all employees explaining the incident and the steps it took to respond to the breach and used the incident to re-educate the employees about their responsibilities under HIPAA.  OCR obtained assurances that the CE implemented the corrective actions listed above.   ",0.0,0,1.0,0.0,0.0,0.0,0.0,BlueCross BlueShield of TN ,2017.0,7.0,21.0,3.0,4.0,0,29.0,0,0,0,0,0,0,1,0,1
Massachusetts Department of Public Health - Tewksbury Hospital,MA,Healthcare Provider,1176.0,2017-07-21,Unauthorized Access/Disclosure,Electronic Medical Record,No,"An employee of Tewksbury Hospital, a covered component of the Massachusetts Department of Public Health, the covered entity (CE),  impermissibly access the electronic medical records of 1,176 individuals. The types of protected health information (PHI) involved included demographic and clinical information. The CE provided breach notification to HHS, affected individuals, and the media and posted substitute notice on its website.  The employee resigned before the CE could apply sanctions. Following the breach, the CE removed sensitive information from the patient summary page in its electronic medical record (EMR) system, increased restrictions to EMR access based on workforce member role and work location, and provided additional training to all its employees regarding role-based access and the HIPAA minimum necessary requirements. OCR reviewed the CE’s policies and procedures and obtained assurances that the CE implemented the corrective actions listed above.",0.0,0,1.0,0.0,0.0,0.0,0.0,Massachusetts Department of Public Health  Tewksbury Hospital,2017.0,7.0,21.0,3.0,4.0,0,29.0,0,1,0,0,0,0,0,0,1
"Vision Care Specialists, Inc.",CO,Healthcare Provider,703.0,2017-07-20,Theft,Paper/Films,No,"Vision Care Specialists, Inc., the covered entity (CE), discovered that on or about May 20, 2017, its administrative office had been burglarized.  The CE determined that paper records containing the protected health information (PHI) of 703 individuals were among the stolen items. The stolen PHI contained names, social security numbers, dates of birth, credit card and bank account numbers, information on diagnoses and conditions, and other treatment information.  The CE provided breach notification to HHS, affected individuals, and the media. Following the breach, the CE implemented a clean desk policy, installed surveillance equipment at all of its locations, and improved physical security.  The CE also revised its procedures to limit the use of paper records and, when paper records are necessary, to store them securely. OCR obtained assurances that the CE implemented the corrective actions listed.",0.0,0,0.0,1.0,0.0,0.0,0.0,Vision Care Specialists ,2017.0,7.0,20.0,3.0,3.0,0,29.0,0,0,0,0,0,0,1,0,1
"SAGE DENTAL MANAGEMENT, LLC",FL,Business Associate,5000.0,2017-07-19,Theft,Other,Yes,"Sage Business Management, LLC, a business associate (BA) of the covered entity (CE), Sage Dental Group of Florida, PLLC, reported  that mail including protected health information (PHI) was stolen from a USPS mailbox it shared with other businesses.  The PHI included 5,539 individuals’ full names, dates of birth, home addresses, telephone numbers, dental insurance information, Sage Dental account numbers, diagnoses, and types of dental treatment.  OCR confirmed that checks from insurance carriers were stolen from the mailbox and fraudulently cashed.  In response to the incident and OCR’s investigation,  the BA arranged to restrict delivery of mail on weekends and changed its claims submission and payment receipt processes.  The BA also reviewed, revised, and created several new policies and procedures to safeguard patients’ PHI.  Breach notification was provided to affected individuals, both by letter and on the BA’s website.  The BA provided required breach notification to HHS and media outlets in counties where affected individuals reside.  ",0.0,1,0.0,1.0,0.0,0.0,0.0,SAGE DENTAL MANAGEMENT ,2017.0,7.0,19.0,3.0,2.0,0,29.0,0,0,0,0,0,0,0,1,0
"Braun Internal Medicine, P.C.",GA,Healthcare Provider,680.0,2017-07-14,Unauthorized Access/Disclosure,Email,No,"On May 17, 2017, Braun Internal Medicine, P.C., the covered entity (CE), sent emails to 680 patients notifying them about a business transition. The “blind copy” feature was not used in the email and all the recipients could see the email addresses for the other recipients. The exposed protected health information (PHI) was limited to email addresses. The email contained no other PHI.  In response to the breach, the CE sanctioned the responsible employee  and implemented a new policy with procedures for safeguarding PHI in emails. The CE has trained all employees on the new procedures. The CE provided breach notification to HHS, affected individuals, and the media. OCR obtained assurances that the CE implemented the voluntary corrective actions noted above.",0.0,0,1.0,0.0,0.0,0.0,0.0,Braun Internal Medicine ,2017.0,7.0,14.0,3.0,4.0,0,28.0,0,0,1,0,0,0,0,0,1
LC&Z General and Cosmetic Dentistry,FL,Healthcare Provider,4391.0,2017-07-11,Unauthorized Access/Disclosure,Email,No,"On May 17, 2017, LC&Z General and Cosmetic Dentistry, the covered entity (“CE”), discovered it had experienced a breach when an unauthorized individual gained access to the CE’s email account, potentially exposing the names, dates of birth, addresses, email addresses, phone numbers, social security numbers, clinical and health insurance information of 4,391 individuals. The CE provided timely breach notification to HHS, to the affected individuals and to the media, and posted substitute notice on its website. At the time of the incident, the CE did not have a business associate (BA) agreement in place with its email service provider. In response to the breach, the CE entered into a BA agreement with the email service provider, implemented additional security measures to its email system, implemented a more secure platform to communicate with patients and transmit protected health information, and retrained its workforce on its HIPAA policies and procedures. OCR obtained assurances that the CE implemented the corrective actions listed above. ",0.0,0,1.0,0.0,0.0,0.0,0.0,LCZ General  Cosmetic Dentistry,2017.0,7.0,11.0,3.0,1.0,0,28.0,0,0,1,0,0,0,0,0,1
"Unconditional Love, Incorporated",FL,Healthcare Provider,643.0,2017-07-07,Unauthorized Access/Disclosure,Paper/Films,No,"The covered entity (CE) discovered that someone had broken into two of its steel storage units which housed boxes of old files containing the protected health information (PHI) of 643 individuals.  The boxes containing PHI were not visibly opened, moved, or disturbed in any way, but one box had been placed on a table.  The types of PHI involved in the incident included names, dates of birth, addresses, diagnoses, social security numbers, and some accounts payable information.  In response to the breach, the CE implemented additional safeguards.  The CE provided breach notification to HHS, affected individuals, and the media and posted substitute notice on its website.  The CE updated its HIPAA Privacy Rule policies & procedures and retrained its staff.  OCR obtained assurances that the CE implemented the corrective actions listed above.   ",0.0,0,1.0,0.0,0.0,0.0,0.0,Unconditional Love Incorporated,2017.0,7.0,7.0,3.0,4.0,0,27.0,0,0,0,0,0,0,1,0,1
The Dermatology Center of Raleigh PA,NC,Healthcare Provider,3000.0,2017-07-05,Unauthorized Access/Disclosure,Email,No,"On June 21, 2017, the covered entity (CE), The Dermatology Center of Raleigh, PA, discovered that its employee sent a patient list to a Sona Dermatology & Med Spa (“Sona”) employee in an unsecure/unencrypted email format.  The patient list contained the names, account numbers, and telephone numbers of 3,000 individuals.  The CE provided breach notification to HHS, affected individuals and the media.  Following the breach, the CE and Sona formally entered into a management services agreement and Sona improved safeguards by implementing encryption solutions and strengthened its access policy and procedures to enable only authorized users to access the minimum necessary information needed to perform job functions.  The CE invested in equipment, applications and software to detect human errors and malware, duplication of data, and to prevent improper data integration.  OCR provided technical assistance regarding the definition of a breach, the low probability of compromise factors, and the Breach Notification Rule.  OCR obtained assurances that the CE met its notification requirements and implemented the corrective actions listed above.     ",0.0,0,1.0,0.0,0.0,0.0,0.0,The Dermatology Center of Raleigh PA,2017.0,7.0,5.0,3.0,2.0,0,27.0,0,0,1,0,0,0,0,0,1
Kennebunk Center for Dentistry ,ME,Healthcare Provider,1900.0,2017-07-03,Unauthorized Access/Disclosure,"Electronic Medical Record, Paper/Films",No,"A former dentist and dental hygienist of the covered entity (CE), Kennebunk Center for Dentistry, sent mailings to 1,900 patients, advertising the practice that they were joining. The patients’ names and addresses were taken from a call list that the dentist maintained off-site for emergency and night calls. The CE provided breach notification to HHS, affected individuals, and the media.  As a result of the breach, the CE reviewed and retrained its staff on its policies and procedures related to uses and disclosures, safeguards and the minimum necessary standard.  OCR obtained assurances that the CE implemented the corrective actions noted above.  

",0.0,0,1.0,0.0,0.0,0.0,0.0,Kennebunk Center for Dentistry ,2017.0,7.0,3.0,3.0,0.0,0,27.0,0,1,0,0,0,0,1,0,1
White Blossom Care Center,CA,Healthcare Provider,800.0,2017-06-30,Unauthorized Access/Disclosure,Other,No,"On June 30, 2017, the covered entity (CE), White Blossom Care Center  reported that its former employees impermissibly accessed and copied its residents’ protected health information (PHI) while employed at the facility.  The breached electronic PHI included names, dates of birth, social security numbers, telephone numbers, health insurance information, and medical record numbers.  The CE provided breach notification to HHS, 791 affected individuals, and the media and posted substitute notice on its website. It also offered identity theft provision services to affected individuals.  In response to the breach, the CE immediately contacted the FBI and San Jose Police Department and reported both former employees to the California Department of Public Health Licensing Division  It also worked with Mandiant, a digital forensics firm, to ensure internal safeguards were implemented to restrict patient’s PHI only to authorized employees, revised its policies and procedures, and retrained workforce members.  The CE provided OCR with additional documentation including its HIPAA Notice of Privacy Practices Policy, as relevant to this breach investigation.  OCR obtained assurances that the CE implemented the corrective actions listed above. 


",0.0,1,1.0,0.0,0.0,0.0,0.0,White Blossom Care Center,2017.0,6.0,30.0,2.0,4.0,0,26.0,0,0,0,0,0,0,0,0,1
Baptist Medical Center South,FL,Healthcare Provider,531.0,2017-06-30,Loss,Other Portable Electronic Device,No,"Baptist Medical South, the covered entity (CE), lost a hard drive that was used to store backup electroencephalogram (EEG) test results.  The breach affected 531 individuals and the types of protected health information (PHI) on the drive included patients’ names, dates of birth, hospital and medical record numbers, physicians’ orders, diagnoses, room numbers, and  EEG image results.  The CE provided breach notification to affected individuals, the media, and HHS and also posted notification on its website.  In response to the breach, the CE initiated its security incident procedure, reviewed surveillance video footage, and interviewed employees.  The CE also revised its procedures relating to hard drive storage and updated its policies.  Additionally, the CE improved physical and technical safeguards, including the use of encryption.  The CE also trained its staff on the updated policies and procedures.  OCR provided the CE with technical assistance on breach start dates and breach reports.  OCR obtained assurances that the CE implemented the corrective actions listed above. ",0.0,1,0.0,0.0,0.0,1.0,0.0,Baptist Medical Center South,2017.0,6.0,30.0,2.0,4.0,0,26.0,0,0,0,0,0,1,0,0,1
"Paul C. Gering, Jr., M.D.",OR,Healthcare Provider,2000.0,2017-06-29,Theft,Desktop Computer,No,"Burglars broke into the office of Paul C. Gering, Jr., M.D., the covered entity (CE), and stole a desktop computer server on June 2, 2017.  The breach affected approximately 2,000 individuals, and involved protected health information (PHI), including patients’ addresses, dates of birth, driver’s licenses, names, social security numbers, clinical diagnoses/conditions, lab results, medications, and other treatment information.  Upon discovering the breach, the CE notified law enforcement and improved physical safeguards.  The CE provided timely notification to HHS, affected individuals, and the media.  As a result of the investigation, the CE improved physical safeguards by moving the server into the basement and installing security cameras.  OCR obtained assurances that the CE implemented the corrective actions listed.",0.0,0,0.0,1.0,0.0,0.0,0.0,Paul C Gering Jr MD,2017.0,6.0,29.0,2.0,3.0,0,26.0,1,0,0,0,0,0,0,0,1
Henry Ford Health System,MI,Healthcare Provider,596.0,2017-06-26,Theft,Paper/Films,No,"On May 18, 2017, the Troy, Michigan police informed the covered entity (CE) that possible Henry Ford Health System protected health information (PHI) in paper form was found in a storage unit of a suspected identify thief. The documents were old patient face sheets for 596 individuals that included patients’ demographic and clinical information. The CE provided breach notification to HHS, affected individuals, and the media. Following the breach, the CE obtained all 596 patients face sheets from the police and implemented an active access monitoring tool on its information system that stores the patient face sheets. OCR obtained documented assurances that the CE implemented the corrective actions noted above.",0.0,0,0.0,1.0,0.0,0.0,0.0,Henry Ford Health System,2017.0,6.0,26.0,2.0,0.0,0,26.0,0,0,0,0,0,0,1,0,1
Saint Thomas Rutherford Hospital,TN,Healthcare Provider,2837.0,2017-06-22,Improper Disposal,Paper/Films,No,"The covered entity (CE), Saint Thomas Rutherford Hospital, reported that protected health information (PHI) was impermissibly disclosed  when it was scattered alongside a road for four miles.  The PHI included the names, dates of birth, claims information, and health diagnoses and conditions of 837 individuals.  The CE provided breach notification to HHS, affected individuals, and the media.  Following the breach, the CE conducted an internal investigation and transferred all of its offsite storage units containing PHI to a new storage and disposal vendor with improved safeguards.  In addition, the CE retrained its workforce, including its management.  OCR obtained documentation that the CE implemented the corrective actions listed.  ",0.0,0,0.0,0.0,1.0,0.0,0.0,Saint Thomas Rutherford Hospital,2017.0,6.0,22.0,2.0,3.0,0,25.0,0,0,0,0,0,0,1,0,1
University of Iowa Hospitals & Clinics,IA,Healthcare Provider,5292.0,2017-06-22,Unauthorized Access/Disclosure,Other,No,"A student employee used an online open source programming tool, GitHub, to program a data transfer, but failed to label his programming as private.  This exposed the protected health information of 5,292 individuals online for more than a year until the covered entity (CE) discovered it on April 29, 2017.  The CE provided breach notification to HHS, affected individuals, and the media.  Following the breach, the CE updated its Security Rule Risk Management Plan, implemented periodic technical and nontechnical evaluations, and retrained its workforce members.  OCR obtained documented assurances that the CE implemented the corrective actions listed. ",0.0,1,1.0,0.0,0.0,0.0,0.0,University of Iowa Hospitals  Clinics,2017.0,6.0,22.0,2.0,3.0,0,25.0,0,0,0,0,0,0,0,0,1
Little River Healthcare,TX,Healthcare Provider,542.0,2017-06-16,Theft,Laptop,No,"An unencrypted laptop computer and paper patient charts were stolen from the locked vehicle of a workforce member of the covered entity (CE), Little River Healthcare. The protected health information (PHI) potentially affected included the names, dates of birth, and treatment information of approximately 542 individuals. As a result of the breach, the CE improved safeguards, updated its policies and procedures, and trained its workforce members on better practices to protect PHI.  Further, the CE provided breach notification to HHS, affected individuals, and the media. OCR obtained assurances that the CE implemented the corrective actions listed.",0.0,0,0.0,1.0,0.0,0.0,0.0,Little River Healthcare,2017.0,6.0,16.0,2.0,4.0,0,24.0,0,0,0,1,0,0,0,0,1
Rutland Regional Medical Center,VT,Healthcare Provider,665.0,2017-06-16,Unauthorized Access/Disclosure,Email,No,"The covered entity (CE), Rutland Regional Medical Center, sent 668 patient surveys via email to recently discharged patients. The recipient’s email address was placed in the “To” line of the emails making each recipient’s email address, which contained names, visible to all other recipients.  Of the 668 emails in the address lines, three were duplicates, leaving 665 patient email addresses disclosed.  The CE provided breach notification to HHS, affected individuals, and the media.  The CE also set up an assistance help line for individuals who might have additional questions.  As a result of OCR’s investigation, the CE revised its policies regarding using and disclosing protected health information and sending patient emails.  Additionally, the CE re-trained its staff on its HIPAA policies.  OCR obtained assurances that the CE implemented the corrective actions noted above.",0.0,0,1.0,0.0,0.0,0.0,0.0,Rutland Regional Medical Center,2017.0,6.0,16.0,2.0,4.0,0,24.0,0,0,1,0,0,0,0,0,1
Bay Area Pain and Wellness Center,CA,Healthcare Provider,548.0,2017-06-14,Theft,Laptop,No,"On May 8, 2017, the covered entity (CE), Bay Area Pain and Wellness Center, discovered that its Electromyography (EMG) machine was stolen from an employee's car.  A laptop computer attached to the EMG contained the electronic protected health information (ePHI) of approximately 548 patients.  The ePHI included patients' names and dates of birth.  The laptop was password protected but not encrypted. The CE provided breach notification to HHS, affected individuals and the media, as well as providing substitute notification.  In response to the breach, the CE retrained its employees on its Privacy and Security Rule policies, encrypted employees’ laptops, and updated its Security Rule policy to prohibit employees from leaving computer and computer bags in unattended public areas.  OCR provided the CE with technical assistance regarding breach notification and the Security Rule risk analysis and risk management provisions.
",0.0,0,0.0,1.0,0.0,0.0,0.0,Bay Area Pain  Wellness Center,2017.0,6.0,14.0,2.0,2.0,0,24.0,0,0,0,1,0,0,0,0,1
SSM Health  (Dr. Syed Khader),MO,Healthcare Provider,836.0,2017-06-09,Theft,Other,No,"The covered entity (CE), SSM Health (SSMH), discovered that between April 12, 2017 and April 13, 2017, a component of an electromyography (EMG) medical device was stolen from the DePaul Hospital Clinic of Dr. Sayed Khader of the SSMH Medical Group.  The stolen device stored protected health information (PHI), including 836 patients' first and last names, dates of birth, chief complaints, and medical record numbers.  The CE provided breach notification to HHS, affected individuals, and the media and provided substitute notice.  Following the breach, the CE updated its policies and procedures relating to safeguarding PHI, retrained its workforce, encrypted the medical device, and improved safeguards.  In May 2018, OCR obtained evidence of the CE's updated system wide Risk Analysis and Risk Management Plan. OCR obtained documented assurances that the CE implemented the voluntary corrective actions listed above.",0.0,1,0.0,1.0,0.0,0.0,0.0,SSM Health  Dr Syed Khader,2017.0,6.0,9.0,2.0,4.0,0,23.0,0,0,0,0,0,0,0,0,1
Tennessee Rural Health Improvement Association,TN,Health Plan,588.0,2017-06-08,Loss,Paper/Films,Yes,"A business associate (BA) sent mail containing protected health information (PHI) that was damaged during transit, with pages missing upon receipt. The missing pages contained the PHI of 588 individuals, and included member identification numbers, dates of service, claim numbers, amounts billed, and amounts paid by the health plan. The covered entity (CE), Tennessee Rural Health Improvement Association, investigated the incident, gathering information from the intended recipient of the package, its mailing vendor, and the U.S. Postal Service, but the missing pages were not found. The CE provided breach notification to HHS, affected individuals, and the media, and also set up a toll free telephone number to answer questions.  Following the breach, the CE began reducing the number of mailings sent to providers, encouraging participation in an electronic payment system, and working with its vendors to improve safeguards for mailings.  OCR determined that the CE has an appropriate BA agreement in place with the BA.  OCR obtained assurances that the CE implemented the corrective actions listed above.",0.0,0,0.0,0.0,0.0,1.0,0.0,Tennessee Rural Health Improvement Association,2017.0,6.0,8.0,2.0,3.0,0,23.0,0,0,0,0,0,0,1,1,0
Southwest Community Health Center,CT,Healthcare Provider,6000.0,2017-06-07,Theft,"Desktop Computer, Laptop",No," Thieves broke in and stole several computers at two facilities of the covered entity (CE), Southwest Community Health Center.  The computers contained unsecured electronic protected health information (ePHI) saved or cached to the local hard drives. The CE reported that approximately 6,000 individuals were affected by the breach, but after data mining was completed, the CE determined that 13,481 individuals could have been affected. The types of ePHI involved in the breach included demographic, financial, and clinical information.  The CE provided breach notification to HHS, affected individuals (7,965 by individual letter and 5,516 by substitute notice), and the media.  Following the breach, the CE improved physical security, revised policies, ended caching ePHI to local hard drives, encrypted all workstations and laptop computers, and implemented several other enhancements to its information systems environment.  OCR obtained assurances that the CE implemented the corrective actions noted above.",0.0,0,0.0,1.0,0.0,0.0,0.0,Southwest Community Health Center,2017.0,6.0,7.0,2.0,2.0,0,23.0,1,0,0,1,0,0,0,0,1
Toth Enterprises II d/b/a Victory Medical,TX,Healthcare Provider,2000.0,2017-06-05,Unauthorized Access/Disclosure,"Email, Paper/Films",No,"The covered entity (CE), Toth Enterprises II d/b/a Victory Medical, learned that an unidentified person uploaded a paper-based report onto a third-party website without the knowledge or authorization of the CE. The report contained the protected health information (PHI) of 2,000 individuals and included patients’ demographic information and medical account numbers.  The CE provided breach notice to HHS, affected individuals, and the media. Following the breach, the CE conducted a new risk analysis, developed a new risk management plan, implemented improved administrative safeguards, developed new policies, and retrained staff. OCR obtained documented assurances that the CE implemented these correction actions.",0.0,0,1.0,0.0,0.0,0.0,0.0,Toth Enterprises II  Victory Medical,2017.0,6.0,5.0,2.0,0.0,0,23.0,0,0,1,0,0,0,1,0,1
North Dakota Department of Human Services,ND,Health Plan,2452.0,2017-06-01,Improper Disposal,Paper/Films,No,"North Dakota Department of Human Services, the covered entity (CE), reported a breach to HHS after it discovered that a workforce member had disposed of documents that included protected health information (PHI) in a dumpster.  The documents contained PHI belonging to 2,452 individuals.  The PHI included individuals’ first and last names, dates of birth, Medicaid provider numbers and other identifiers, dates of service, diagnosis codes, procedure codes, and billing information.  The CE notified affected individuals and prominent media outlets of the breach.  The CE also posted substitute notification on its website.  The workforce member responsible for the breach resigned in lieu of termination.  The CE trained its staff in proper disposal of PHI.  As a result of OCR’s technical assistance, the CE revised its policies concerning safeguarding PHI, the provision of Privacy training, its sanctions policies, disclosures of PHI and its mitigation policy and provided OCR with written assurance that it will train all members of its workforce on the updated policies.",0.0,0,0.0,0.0,1.0,0.0,0.0,North Dakota Department of Human Services,2017.0,6.0,1.0,2.0,3.0,0,22.0,0,0,0,0,0,0,1,0,1
"LKM ENTERPRISES, INC.",OK,Healthcare Provider,3400.0,2017-06-01,Theft,"Desktop Computer, Laptop",No,"Two computers (a desktop and a laptop) containing billing software were stolen from the covered entity (CE), LKM Enterprises, Inc. The protected health information (PHI) involved in the breach included the demographic information, financial information, and clinical information of approximately 3,400 individuals. Upon discovering the breach, the CE filed a police report. The CE provided breach notification to HHS, affected individuals, and the media. As a result of the breach, the CE improved physical security both inside and outside of the facility premises. OCR obtained assurances that the CE implemented the corrective actions listed.",0.0,0,0.0,1.0,0.0,0.0,0.0,LKM ENTERPRISES ,2017.0,6.0,1.0,2.0,3.0,0,22.0,1,0,0,1,0,0,0,0,1
Arizona Department of Health Services,AZ,Healthcare Provider,2500.0,2017-05-26,Loss,Paper/Films,No," On May 26, 2017, the Arizona Department of Health Services, the covered entity (CE) reported that a package of billing documents containing protected health information (PHI) was lost in the mail. The package contained the PHI of approximately 2,500 individuals from its newborn screening program. The types of PHI involved in the breach included names, dates of birth, addresses, phone numbers, health insurance information, and possibly social security numbers. The CE provided breach notification to the affected individuals, the media, and HHS.  Following the breach and an investigation, the CE switched the mail carrier it used for shipping its billing information. Pursuant to OCR’s investigation, the CE improved its physical safeguards and implemented new policies and procedures for mailings.  OCR obtained assurances from the CE that it has taken the actions above. ",0.0,0,0.0,0.0,0.0,1.0,0.0,Arizona Department of Health Services,2017.0,5.0,26.0,2.0,4.0,0,21.0,0,0,0,0,0,0,1,0,1
Beacon Health System,IN,Healthcare Provider,1239.0,2017-05-26,Unauthorized Access/Disclosure,Electronic Medical Record,No,"Beginning on or around March 1, 2014, an employee of the covered entity (CE), Beacon Health System, impermissibly accessed Emergency Room (ER) patient records while working in the billing department. The employee had access to protected health information (PHI) for 1,239 ER patients, including addresses, dates of birth, names, social security numbers, ages, room numbers, claims information, billing, accounts, invoices, health insurance, illness, and chief complaint. The CE provided breach notification to HHS, affected individuals and the media.  It also provided credit monitoring to affected individuals.  Following the breach, the CE sanctioned the employee in accordance with its sanction policy. During our investigation, we found that a large number of the CE's staff either did not complete HIPAA training or only completed a portion of the training for 2016.  OCR requested that the CE update its HIPAA training policy and audit policy. In response, the CE provided OCR with documentation of actions it took, including redrafting its HIPAA training policy, updating its audit policy and providing evidence of daily audits and log runs.",0.0,0,1.0,0.0,0.0,0.0,0.0,Beacon Health System,2017.0,5.0,26.0,2.0,4.0,0,21.0,0,1,0,0,0,0,0,0,1
Mississippi Division of Medicaid,MS,Health Plan,5220.0,2017-05-26,Unauthorized Access/Disclosure,Email,No,"On April 7, 2017 the covered entity (CE), Mississippi Division of Medicaid, discovered that beginning on May 2, 2014, an employee had used WuFoo, an online service, to create and post online forms to the CE’s external website for public use. While these forms were secure on the CE’s and WuFoo’s websites, they were not encrypted when emailed between Wufoo and the CE’s employees.  These forms requested protected health information (PHI) from beneficiaries.  As the form information was transmitted via unencrypted email across the public internet, the CE was unable to determine whether a third party inappropriately accessed the form information contained in these emails.  The CE did not have a Business Associate Agreement (BAA) with WuFoo.  The PHI contained in the unsecured forms included: beneficiary or potential applicants’ names, addresses, emails, enrollment dates, Medicaid and/or Medicare identification numbers, social security numbers, phone numbers, clinical information, and health plans. Approximately 4,524 people were affected by the breach.  The CE provided breach notification to HHS, affected individuals, and the media, and also provided substitute notice on its website.  Following the breach, the CE cancelled its WuFoo account and conducted an audit of all active contracts to ensure proper BAAs.  It also revised its purchasing policy and Privacy and Security policies and trained staff on its new policies.  Additionally, the CE structured the Privacy Officer position to report directly to the CE’s Executive Director and counseled the employee involved in the breach.  OCR obtained assurances that the CE implemented the corrective actions listed above.  
",0.0,0,1.0,0.0,0.0,0.0,0.0,Mississippi Division of Medicaid,2017.0,5.0,26.0,2.0,4.0,0,21.0,0,0,1,0,0,0,0,0,1
Children's Mercy Hospital,MO,Healthcare Provider,5511.0,2017-05-19,Unauthorized Access/Disclosure,Other,No,"CMH physician store protected health information on a personal website.  Approximately 5,511 individuals were affected by this breach.  The breach included names, dates of birth, diagnoses and conditions, and ICD codes.  In order to prevent a similar breach from happening in the future, CMH reviewed and updated policies, created a new online course, retrained employees, physician received monetary sanctions, and conducted additional counseling.  CMH sent out breach notices to affected individuals, sent a media notice to the Kansas City Star.  And provided notice via CMH’s website.  CMH provided documentation of the actions it took in this matter.   
",0.0,1,1.0,0.0,0.0,0.0,0.0,Childrens Mercy Hospital,2017.0,5.0,19.0,2.0,4.0,0,20.0,0,0,0,0,0,0,0,0,1
